,dawf_Star_name,dawf_Star_Distance,Mass,Radius
131,2MASS J0523−1403,40,0.00096413388,
132,2MASS 0532+8246,81,,207.375734
133,SDSS J053951.99-005902.0,41.62,0.00096413388,
134,2MASS J05591914-1404488 [de],34,,205.52599999999998
135,LSR 0602+3910 [de],34.6,0.00134596908,205.83428899999998
136,2MASS J06085283-2753583,102,0.00144142788,
137,WISEP J061135.13-041024.0A,69,,206.96468199999998
138,WISEP J061135.13-041024.0B,69,,206.96468199999998
139,2MASS J06244595-4521548 [de],39,0.0009450421200000001,206.34810399999998
140,2MASS J06411840-4322329 [de],65,0.00096413388,206.34810399999998
141,DENIS-P J0652197-253450 [de],51,0.0010023174,206.34810399999998
142,2MASS J07003664+3157266 [de],40,,205.83428899999998
143,2MASS J07075327-4900503,60,0.0009832256400000002,
144,UGPS J072227.51-054031.2,13.4,0.00093549624,206.55363
145,2MASSI J0727182+171001 [de],29.6,0.00089731272,205.73152599999997
146,2MASS J07290002-3954043 [de],25.8,0.00089731272,206.245341
147,SDSS J074201.41+205520.5 [de],49,0.00089731272,205.937052
148,2MASS J0746425+200032 [fr],49.6,,205.423237
149,DENIS-P J0751164-253043 [de],55,0.0009832256400000002,206.34810399999998
150,2MASS J07522390+1612157,60,0.064911984,
151,DENIS J081730.0-615520,16.1,0.00089731272,206.55363
152,DENIS J082303.1−491201A,67,,206.142578
153,DENIS J082303.1−491201B,67,,206.142578
154,2MASS J08251968+2115521 [de],35,0.00093549624,205.52599999999998
155,SDSSp J083008.12+482847.4 [de],43,0.0009450421200000001,205.73152599999997
156,LHS 2021,55,0.0010977762,
157,SDSS J083048.80+012831.1 [de],77,0.00091640448,205.937052
158,2MASSI J0835425-081923 [de],23.53,0.000954588,205.83428899999998
159,2MASSI J0847287-153237 [de],43,0.000954588,205.83428899999998
160,2MASS J08533619-0329321,27.6,0.00102140916,
161,2MASSI J0859254-194926 [de],50,0.00093549624,205.83428899999998
162,2MASSW J0920122+351742 [de],95,,205.52599999999998
163,2MASSI J0937347+293142,20,0.00089731272,205.73152599999997
164,2MASS 0939−2448,17.4,0.0009068586,206.03981499999998
165,2MASS J09490860-1545485 [de],59,0.00091640448,206.03981499999998
166,2MASS J10073369-4555147,46,0.00089731272,
167,2MASSI J1010148-040649 [de],55,0.00093549624,205.83428899999998
168,2MASSI J1017075+130839 [de],108,,205.83428899999998
169,SDSS J102109.69-030420.1,95,,
170,2MASS J10224821+5825453 [de],60,0.00134596908,206.34810399999998
171,2MASSW J1036530-344138 [de],53,0.00092595036,205.73152599999997
172,2MASS J1047538+212423 [de],34.4,0.00089731272,205.423237
173,DEN 1048-3956,13.15,0.00102140916,205.52599999999998
174,Luhman 16B,6.516,0.0009736797600000001,206.861919
175,Luhman 16A,6.516,0.00096413388,206.861919
176,DENIS-P J1058.7−1548,49,0.000954588,205.21771099999998
177,TWA 28,180,0.0022814653200000003,
178,Cha 110913-773444,163,0.0017182584,206.03981499999998
179,OTS 44,554,,206.03981499999998
180,SDSS J111010.01+011613.1,63,0.00118368912,
181,2MASS J11145133−2618235,18.2,0.00091640448,206.03981499999998
182,TWA 26,137,0.0021000936,
183,2MASSW J1146345+223053,89,,
184,2MASS J11544223-3400390 [de],129,0.001431882,205.83428899999998
185,2MASSW J1155395-372735 [de],31,0.000954588,205.73152599999997
186,TWA 27A,,,
187,TWA 27B,,,
188,2MASS J12074836-3900043,217,0.00163234548,
189,2MASSI J1217110-031113 [de],36,0.00089731272,205.423237
190,2MASS J12255432-2739466,43,,
191,DENIS-P J1228.2-1547,66,,205.423237
192,2M 1237+6526,45.6,0.00089731272,205.83428899999998
193,2MASSW J1239272+551537 [de],119,,205.52599999999998
194,TWA 29,262,0.0238647,
195,SDSSp J125453.90-012247.4 [de],38,0.00093549624,205.52599999999998
